#node1,node2
Fcgr1,Ptprc
Lamp1,Npc1
Lamp1,Itgax
Prkcd,B2m
Sst,Calb2
Dgkg,Faim2
Inpp5d,Csf1r
Tagln2,S100a6
Atp8a1,Tapbp
Itgam,Lamp1
Lamp1,Stx12
Spock1,Smoc1
Aif1,Ptpn6
Anxa3,Vim
Ptprc,Psmb8
Lcp1,Hcls1
Grn,Tmem106b
Itgam,Vav1
Csf1r,Apoe
C1qa,Itgb2
Atp8a1,Psmb8
Lamp1,Ptprc
Arpc1b,S100a6
Ptprc,Nqo1
Mdk,Vav1
Bace1,Apoe
Clu,Apoe
Inpp5d,Itgb2
Lcp1,Capg
P2ry12,Aif1
Fcer1g,Fermt3
Plek,Fcer1g
Hmha1,Ptprc
Rac2,Csf1r
Abi3,Apbb1ip
Tagln2,Arpc1b
Arc,Ncstn
Arc,App
Gabra5,Clic1
Gabra1,Clic1
Ncf1,Itgb2
Actr1a,Calb2
Tspan6,Igsf8
Aif1,Psmb8
Inpp5d,Plek
Lyz1,Ptprc
Actr1a,Pvalb
Inpp5d,Prkcd
Fcer1g,Rac2
Eef1g,Ran
Ptprc,Apbb1ip
Ctsd,Hexa
Aif1,Itgb2
F11r,Vav1
Icam1,Rac2
Slit2,Gpc4
Gpc1,Slit1
Gpc4,Slit1
Fcer1g,Itgax
Ctsd,Pld3
Scarb2,Apoe
Cnr1,Calb2
Actr1a,Tuba8
Timp2,Col1a1
Pla2g15,Apoe
Lypd1,Cpne6
Itgam,Rac2
Cd180,Tollip
C4b,Itgb2
Hmha1,Was
Asah1,Sdcbp
Lcp1,Myo1e
C1qa,Ptprc
Mif,Clu
Ctsd,App
Edil3,Itgb2
Msn,Hcls1
Hcls1,Apbb1ip
Capg,Itgb2
Actr1a,Myo1e
Lyz1,Fcer1g
Itgb5,F11r
Fcgr1,Hcls1
Flt1,Col1a1
Lyz1,Itgb2
Lyz1,Aif1
Rac2,Fcgr1
Myo1e,Was
Itgb5,Sdc4
Fermt3,Apbb1ip
Plek,Apbb1ip
Abcb9,Psmb8
Icam1,Itgb5
Stx12,App
Actr1a,Rac2
ENSMUSG00000044117,Aplp1
Itgax,Atp9a
Npc1,Apoe
Entpd1,Icam1
Itgb5,Rac2
Col1a1,Itgb2
Col1a2,Serpine2
Fermt3,Fcgr1
Msn,Itgb5
Rac2,Itgax
Flt1,Serpine2
Inpp5d,Apbb1ip
Pvalb,Sst
Dpp7,Scpep1
Lcp1,Vav1
S100a13,S100a6
Sgpl1,Asah1
Arpc1b,Vim
Abi3,Was
Inpp5d,Aif1
Itgb5,Hcls1
Icam1,C1qa
Inpp5d,Prkcg
Flt1,Timp2
Lcp1,Lsp1
Vamp7,Lamp2
Rac2,Flt1
Col1a2,Itgb2
Nrgn,Arc
Mdk,Itgb2
Itgam,Mdk
B2m,Lamp2
Pde10a,Chadl
Itgb5,Igsf8
Icam1,Flt1
Hpcal1,Arc
Rac2,Sdc4
Clcn7,Tpp1
Icam1,Serpine2
B2m,Mdk
Gpc4,Flt1
Psap,Pld3
Icam1,Vav1
Gpc1,Mdk
Flt1,Itgb2
Col1a2,Flt1
Nov,Col1a1
Aplp2,Gpc1
Myo1e,Calb2
Itgam,Fcer1g
Sdc4,Itgb2
Myo1e,Pvalb
Tagln2,Vim
Itgam,Itgax
Ncf1,Apoe
Nov,Col1a2
Itgax,Ctgf
Ctsd,Serpine2
Gpc4,Mdk
Tagln2,Clic1
Igsf8,Itgb2
Fcer1g,Apbb1ip
Rac2,Anxa2
Arsb,Hexb
Aplp2,Apoe
Vtn,Vwf
Ostm1,Gdap2
Col1a2,Timp2
Abcb9,Lamp2
Mdk,Ptprc
S100a13,Anxa4
Anxa2,Serpine2
Asah1,Lamp2
Slit1,Ntn3
Plek,Dock10
Gpc4,App
Pld3,Itm2c
Aplp2,Gpc4
C1qb,Hcls1
Entpd1,Ptprc
Plek,Was
Anxa2,Col1a2
Lcp1,B2m
Ptgs1,Mdk
Plek,Aif1
Rac2,Psmb8
Bace1,Aif1
Psmb8,Hcls1
Arpc1b,Hcls1
Cd34,Vwf
Clcn7,Lamp1
Igsf9b,C1qb
Mdk,Gpc5
Icam1,Vtn
Vat1l,Rpl21
Gap43,Clstn1
Apbb1ip,Itgb2
Clstn1,Stx12
Igsf9b,Tagln2
Atp9a,Ptprc
Clstn1,Stx7
Igsf9b,Igsf8
Eef1g,Pgam2
Col1a2,Olfml3
Lcp1,Plek
Itgam,Atp9a
Atp8a1,Ptprc
Timp2,Vtn
Asah1,Hexb
Arpc1b,Anxa2
Arpc1b,Rac2
Ncf1,Plek
Ptprc,Dies1
Aplp2,Clu
Pld3,Daglb
Lamp2,Ctsb
B2m,Prkcg
Vps29,Vps16
Ctsd,Scarb2
Psap,Hexa
Plek,Fcgr1
Pgam2,Hk2
Rims3,Calb2
C1qb,Fermt3
Apbb1ip,Ptpn6
Anxa3,Anxa4
Lcp1,Was
Msn,Plek
Anxa3,Clic1
Fcgr1,Vav1
Bace1,Lamp2
C1qa,Hcls1
Slc17a6,Pvalb
Anxa2,Clic1
Itgam,Apoe
Igsf8,Tspan14
Fcgr1,Apbb1ip
Mfge8,Itgb2
Rac2,Myo1e
Serpine2,Col1a1
Blmh,App
Ncf1,Icam1
Pld3,Hexa
Was,Apbb1ip
Atp9a,Lsp1
Sdcbp,Stx7
Csf1r,Dies1
Capg,Actr1a
Rragc,Lamp2
Flt1,Sdc4
Dkk3,Frzb
Clic1,S100a6
Icam1,Mdk
Dock10,Apbb1ip
Clic1,Clcn3
Lcp1,Ptpn6
Csf1r,Apbb1ip
Atg9a,Lamp2
Serpine2,Apoe
Vim,Ptprc
Serpine2,Ctgf
Enpp2,Entpd1
Vps39,Lamtor1
Lcp1,Fermt3
Sulf2,Gpc5
Smoc1,Spock3
F11r,Ptprc
Slc17a6,Grm2
Icam1,Lamp1
Psmb8,Ptpn6
Crym,Itm2c
Ncf1,Serpine2
Itgam,Serpine2
C1qa,Rac2
Itgb5,Ctgf
Plek,Lyz1
P2ry12,Vwf
Itgam,Cd34
Ncf1,Ptprc
Tagln2,Igsf8
Fcgr1,Psmb8
Hmha1,Aif1
Itgb5,Flt1
Pla2g15,Csf1r
Hist1h1b,Cpne7
Apoe,Vwf
Ctsb,Itgb2
Itgax,Ptpn6
Arpc1b,Actr1a
Tpp1,Ctsb
Fcer1g,Was
B2m,Arpc1b
Lcp1,Itgam
Flnc,Itgb2
Lcp1,Itgax
Rraga,Blmh
Itgax,Hcls1
Vtn,Apoe
Ntn1,Calb2
Capg,Hcls1
